classifier,feature,normalised_importance
LightGBM,acc__log_power_3_12__median,0.5406679861986653
LightGBM,acc__jerk_rms__median,0.32136458670729906
LightGBM,gyro__jerk_rms__median,0.04372072937947317
LightGBM,gyro__log_power_3_12__median,0.03791528239202658
LightGBM,acc__mad__median,0.02408488352271114
LightGBM,gyro__std__median,0.011520958892181707
LightGBM,acc__jerk_rms__iqr,0.007083333333333334
LightGBM,acc__std__median,0.004155592469545958
LightGBM,gyro__mad__median,0.003327796234772979
LightGBM,acc__rms__median,0.0016530407112372476
LightGBM,gyro__log_power_3_12__iqr,0.001642155893708994
LightGBM,acc__mad__iqr,0.0004152823920265781
LightGBM,acc__log_power_3_12__iqr,0.00041254125412541255
LightGBM,acc__ratio_9_12__median,0.00040716612377850165
LightGBM,acc__spectral_entropy__median,0.00040716612377850165
LightGBM,gyro__ratio_3_6__median,0.00040716612377850165
LightGBM,gyro__ratio_9_12__median,0.00040716612377850165
LightGBM,gyro__spectral_entropy__median,0.00040716612377850165
LightGBM,acc__dominant_hz__iqr,0.0
LightGBM,acc__dominant_hz__median,0.0
LightGBM,acc__peak_ratio__iqr,0.0
LightGBM,acc__peak_ratio__median,0.0
LightGBM,acc__ratio_3_6__iqr,0.0
LightGBM,acc__ratio_3_6__median,0.0
LightGBM,acc__ratio_6_9__iqr,0.0
LightGBM,acc__ratio_6_9__median,0.0
LightGBM,acc__ratio_9_12__iqr,0.0
LightGBM,acc__rms__iqr,0.0
LightGBM,acc__spectral_entropy__iqr,0.0
LightGBM,acc__std__iqr,0.0
LightGBM,acc__tremor_total_ratio__iqr,0.0
LightGBM,acc__tremor_total_ratio__median,0.0
LightGBM,acc__zcr__iqr,0.0
LightGBM,acc__zcr__median,0.0
LightGBM,gyro__dominant_hz__iqr,0.0
LightGBM,gyro__dominant_hz__median,0.0
LightGBM,gyro__jerk_rms__iqr,0.0
LightGBM,gyro__mad__iqr,0.0
LightGBM,gyro__peak_ratio__iqr,0.0
LightGBM,gyro__peak_ratio__median,0.0
LightGBM,gyro__ratio_3_6__iqr,0.0
LightGBM,gyro__ratio_6_9__iqr,0.0
LightGBM,gyro__ratio_6_9__median,0.0
LightGBM,gyro__ratio_9_12__iqr,0.0
LightGBM,gyro__rms__iqr,0.0
LightGBM,gyro__rms__median,0.0
LightGBM,gyro__spectral_entropy__iqr,0.0
LightGBM,gyro__std__iqr,0.0
LightGBM,gyro__tremor_total_ratio__iqr,0.0
LightGBM,gyro__tremor_total_ratio__median,0.0
LightGBM,gyro__zcr__iqr,0.0
LightGBM,gyro__zcr__median,0.0
XGBoost,acc__mad__median,0.43781181526598106
XGBoost,acc__jerk_rms__median,0.2940471420009634
XGBoost,acc__log_power_3_12__median,0.21505394401247588
XGBoost,acc__jerk_rms__iqr,0.030988904710767387
XGBoost,acc__std__median,0.004720775828179776
XGBoost,acc__rms__median,0.004546641672784374
XGBoost,gyro__rms__median,0.002766263906626277
XGBoost,gyro__dominant_hz__median,0.002475232819537849
XGBoost,acc__peak_ratio__median,0.0018340441182572807
XGBoost,gyro__jerk_rms__median,0.0017199012998912375
XGBoost,gyro__jerk_rms__iqr,0.001220687131763624
XGBoost,acc__ratio_9_12__median,0.001208489522934391
XGBoost,acc__mad__iqr,0.0011750614798876084
XGBoost,gyro__zcr__median,0.00043109622994991133
XGBoost,acc__dominant_hz__iqr,0.0
XGBoost,acc__dominant_hz__median,0.0
XGBoost,acc__log_power_3_12__iqr,0.0
XGBoost,acc__peak_ratio__iqr,0.0
XGBoost,acc__ratio_3_6__iqr,0.0
XGBoost,acc__ratio_3_6__median,0.0
XGBoost,acc__ratio_6_9__iqr,0.0
XGBoost,acc__ratio_6_9__median,0.0
XGBoost,acc__ratio_9_12__iqr,0.0
XGBoost,acc__rms__iqr,0.0
XGBoost,acc__spectral_entropy__iqr,0.0
XGBoost,acc__spectral_entropy__median,0.0
XGBoost,acc__std__iqr,0.0
XGBoost,acc__tremor_total_ratio__iqr,0.0
XGBoost,acc__tremor_total_ratio__median,0.0
XGBoost,acc__zcr__iqr,0.0
XGBoost,acc__zcr__median,0.0
XGBoost,gyro__dominant_hz__iqr,0.0
XGBoost,gyro__log_power_3_12__iqr,0.0
XGBoost,gyro__log_power_3_12__median,0.0
XGBoost,gyro__mad__iqr,0.0
XGBoost,gyro__mad__median,0.0
XGBoost,gyro__peak_ratio__iqr,0.0
XGBoost,gyro__peak_ratio__median,0.0
XGBoost,gyro__ratio_3_6__iqr,0.0
XGBoost,gyro__ratio_3_6__median,0.0
XGBoost,gyro__ratio_6_9__iqr,0.0
XGBoost,gyro__ratio_6_9__median,0.0
XGBoost,gyro__ratio_9_12__iqr,0.0
XGBoost,gyro__ratio_9_12__median,0.0
XGBoost,gyro__rms__iqr,0.0
XGBoost,gyro__spectral_entropy__iqr,0.0
XGBoost,gyro__spectral_entropy__median,0.0
XGBoost,gyro__std__iqr,0.0
XGBoost,gyro__std__median,0.0
XGBoost,gyro__tremor_total_ratio__iqr,0.0
XGBoost,gyro__tremor_total_ratio__median,0.0
XGBoost,gyro__zcr__iqr,0.0
