evaluation,fold,classifier,feature_set,n_train,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
LOSO,BIBI,LightGBM,B1_time,200,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,BIBI,XGBoost,B1_time,200,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,BIBI,LightGBM,B2_time_frequency,200,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,BIBI,XGBoost,B2_time_frequency,200,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,anna,LightGBM,B1_time,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,XGBoost,B1_time,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,LightGBM,B2_time_frequency,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,anna,XGBoost,B2_time_frequency,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,euno,LightGBM,B1_time,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,XGBoost,B1_time,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,LightGBM,B2_time_frequency,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,euno,XGBoost,B2_time_frequency,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,march,LightGBM,B1_time,200,20,0.8,0.6,1.0,0.7916666666666667,1.0,0.9999999999999999,10,0,4,6
LOSO,march,XGBoost,B1_time,200,20,0.7,0.4,1.0,0.6703296703296704,1.0,1.0,10,0,6,4
LOSO,march,LightGBM,B2_time_frequency,200,20,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,10
LOSO,march,XGBoost,B2_time_frequency,200,20,0.7,0.4,1.0,0.6703296703296704,1.0,1.0,10,0,6,4
LOSO,mu,LightGBM,B1_time,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,mu,XGBoost,B1_time,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,mu,LightGBM,B2_time_frequency,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,mu,XGBoost,B2_time_frequency,180,40,1.0,1.0,1.0,1.0,1.0,1.0,20,0,0,20
LOSO,seojin,LightGBM,B1_time,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,XGBoost,B1_time,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,LightGBM,B2_time_frequency,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
LOSO,seojin,XGBoost,B2_time_frequency,170,50,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,25
cross_dataset,dataset_a_to_dataset_b,LightGBM,B1_time,140,80,0.9875,1.0,0.975,0.9874980465697765,1.0,1.0,39,1,0,40
cross_dataset,dataset_a_to_dataset_b,XGBoost,B1_time,140,80,1.0,1.0,1.0,1.0,1.0,1.0,40,0,0,40
cross_dataset,dataset_a_to_dataset_b,LightGBM,B2_time_frequency,140,80,1.0,1.0,1.0,1.0,1.0,1.0,40,0,0,40
cross_dataset,dataset_a_to_dataset_b,XGBoost,B2_time_frequency,140,80,1.0,1.0,1.0,1.0,1.0,1.0,40,0,0,40
cross_dataset,dataset_b_to_dataset_a,LightGBM,B1_time,80,140,0.9785714285714286,0.9571428571428572,1.0,0.9785615844010005,1.0,0.9999999999999998,70,0,3,67
cross_dataset,dataset_b_to_dataset_a,XGBoost,B1_time,80,140,0.9571428571428571,0.9142857142857143,1.0,0.957063995093028,1.0,1.0,70,0,6,64
cross_dataset,dataset_b_to_dataset_a,LightGBM,B2_time_frequency,80,140,1.0,1.0,1.0,1.0,1.0,1.0,70,0,0,70
cross_dataset,dataset_b_to_dataset_a,XGBoost,B2_time_frequency,80,140,0.9571428571428571,0.9142857142857143,1.0,0.957063995093028,1.0,1.0,70,0,6,64
