evaluation,classifier,feature_set,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,specificity_mean,macro_f1_mean,auroc_mean,folds
LOSO,LightGBM,B1_time,0.9667,0.0816,0.9333,1.0,0.9653,1.0,6
LOSO,LightGBM,B2_time_frequency,1.0,0.0,1.0,1.0,1.0,1.0,6
LOSO,Logistic_Regression,B1_time,0.9667,0.0816,0.9333,1.0,0.9653,1.0,6
LOSO,Logistic_Regression,B2_time_frequency,0.975,0.0612,0.95,1.0,0.9744,1.0,6
LOSO,RBF_SVM,B1_time,0.975,0.0418,0.9667,0.9833,0.9748,1.0,6
LOSO,RBF_SVM,B2_time_frequency,0.9917,0.0204,1.0,0.9833,0.9916,1.0,6
LOSO,Random_Forest,B1_time,0.9792,0.0401,0.9667,0.9917,0.979,1.0,6
LOSO,Random_Forest,B2_time_frequency,0.9917,0.0204,0.9833,1.0,0.9916,1.0,6
LOSO,XGBoost,B1_time,0.95,0.1225,0.9,1.0,0.9451,1.0,6
LOSO,XGBoost,B2_time_frequency,0.95,0.1225,0.9,1.0,0.9451,1.0,6
cross_dataset,LightGBM,B1_time,0.983,0.0063,0.9786,0.9875,0.983,1.0,2
cross_dataset,LightGBM,B2_time_frequency,1.0,0.0,1.0,1.0,1.0,1.0,2
cross_dataset,Logistic_Regression,B1_time,0.9705,0.0114,0.9786,0.9625,0.9705,1.0,2
cross_dataset,Logistic_Regression,B2_time_frequency,0.9893,0.0152,0.9857,0.9929,0.9893,0.9998,2
cross_dataset,RBF_SVM,B1_time,0.9705,0.0114,0.9857,0.9554,0.9705,0.9996,2
cross_dataset,RBF_SVM,B2_time_frequency,0.9768,0.0025,1.0,0.9536,0.9768,1.0,2
cross_dataset,Random_Forest,B1_time,0.9804,0.0076,0.9857,0.975,0.9803,1.0,2
cross_dataset,Random_Forest,B2_time_frequency,0.9902,0.0038,0.9929,0.9875,0.9902,1.0,2
cross_dataset,XGBoost,B1_time,0.9786,0.0303,0.9571,1.0,0.9785,1.0,2
cross_dataset,XGBoost,B2_time_frequency,0.9786,0.0303,0.9571,1.0,0.9785,1.0,2
