classifier,feature_set,pads_task,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
LightGBM,B1_time,RelaxedTask,311,0.7177959791511541,0.6708860759493671,0.7647058823529411,0.7166873706004141,0.779887482419128,0.8157591542994781,117,36,52,106
LightGBM,B1_time,HoldWeight,313,0.7092078399346673,0.7151898734177216,0.7032258064516129,0.7092176860330974,0.7729277256022866,0.8069923205218994,109,46,45,113
LightGBM,B1_time,Relaxed,315,0.68692549588776,0.559748427672956,0.8141025641025641,0.6810730100939856,0.7425012094823416,0.7881827244541538,127,29,70,89
LightGBM,B1_time,LiftHold,314,0.6793831168831168,0.625,0.7337662337662337,0.6777916628567364,0.7325892857142857,0.7770986692450806,113,41,60,100
LightGBM,B1_time,StretchHold,316,0.6710078140653175,0.6645962732919255,0.6774193548387096,0.6708728918799823,0.7453416149068323,0.7890950744849149,105,50,54,107
LightGBM,B2_time_frequency,LiftHold,314,0.765827922077922,0.6875,0.8441558441558441,0.7633712167501732,0.845211038961039,0.8738838692616426,130,24,50,110
LightGBM,B2_time_frequency,RelaxedTask,311,0.7623066104078762,0.7468354430379747,0.7777777777777778,0.7620554177005789,0.8487217671878878,0.8816935046250804,119,34,40,118
LightGBM,B2_time_frequency,HoldWeight,313,0.7572274397713352,0.7531645569620253,0.7612903225806451,0.7571860199248734,0.8497754185381788,0.8844087350311859,118,37,39,119
LightGBM,B2_time_frequency,StretchHold,316,0.7516529753556402,0.6645962732919255,0.8387096774193549,0.7486685392692822,0.8385894610298537,0.8653391824666746,130,25,54,107
LightGBM,B2_time_frequency,Relaxed,315,0.7432268988872762,0.7044025157232704,0.782051282051282,0.7425977301387137,0.8348250282212546,0.8607166349830264,122,34,47,112
XGBoost,B1_time,RelaxedTask,311,0.7242285099693886,0.6772151898734177,0.7712418300653595,0.7231262939958593,0.7671465210556796,0.8101138181326036,118,35,51,107
XGBoost,B1_time,HoldWeight,313,0.6802980808493262,0.7025316455696202,0.6580645161290323,0.6802468126838837,0.7731727235606369,0.8116898459250144,102,53,47,111
XGBoost,B1_time,LiftHold,314,0.6763798701298702,0.6125,0.7402597402597403,0.6743136058572301,0.7216314935064934,0.7695315191779658,114,40,62,98
XGBoost,B1_time,Relaxed,315,0.6710812772133528,0.5408805031446541,0.8012820512820513,0.6647015475313192,0.7402031930333818,0.7883405929319128,125,31,73,86
XGBoost,B1_time,StretchHold,316,0.6487878180725306,0.6459627329192547,0.6516129032258065,0.648702514847717,0.7291925465838509,0.7775697071553354,101,54,57,104
XGBoost,B2_time_frequency,LiftHold,314,0.7685876623376624,0.7125,0.8246753246753247,0.7671167464212055,0.8318181818181818,0.8662229086170082,127,27,46,114
XGBoost,B2_time_frequency,RelaxedTask,311,0.7591420534458508,0.740506329113924,0.7777777777777778,0.758832469989764,0.839124679407628,0.8779844995461192,119,34,41,117
XGBoost,B2_time_frequency,StretchHold,316,0.7552394309757564,0.6459627329192547,0.864516129032258,0.7509196006305833,0.8332197956321379,0.8668999033955511,134,21,57,104
XGBoost,B2_time_frequency,HoldWeight,313,0.7477950183748469,0.7278481012658228,0.7677419354838709,0.7475626065562055,0.8440996325030625,0.8794844644456112,119,36,43,115
XGBoost,B2_time_frequency,Relaxed,315,0.7402636671504597,0.6792452830188679,0.8012820512820513,0.7389221314789358,0.8247863247863247,0.8542325382542744,125,31,51,108
