level,fold,classifier,feature_set,n_train_subjects,n_test_subjects,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
recording,1,LightGBM,B1_time,128.0,32.0,311,0.7170645446507515,0.6410256410256411,0.7931034482758621,0.6943073448218169,0.7863837312113173,0.8836557412303142,92,24,70,125
recording,1,XGBoost,B1_time,128.0,32.0,311,0.7103006189213086,0.6102564102564103,0.8103448275862069,0.6828379953379953,0.7695844385499558,0.8722702102474947,94,22,76,119
recording,1,LightGBM,B2_time_frequency,128.0,32.0,311,0.7797524314765694,0.6974358974358974,0.8620689655172413,0.755567199371234,0.8585322723253759,0.9260302209426494,100,16,59,136
recording,1,XGBoost,B2_time_frequency,128.0,32.0,311,0.7978116710875331,0.7076923076923077,0.8879310344827587,0.7720323364329396,0.8560123784261715,0.9259679914701038,103,13,57,138
recording,2,LightGBM,B1_time,128.0,32.0,316,0.71793109194684,0.6878306878306878,0.7480314960629921,0.708448662185317,0.7736116318793484,0.8524949639436471,95,32,59,130
recording,2,XGBoost,B1_time,128.0,32.0,316,0.6980585760113319,0.6402116402116402,0.7559055118110236,0.6847356168939143,0.7709036370453692,0.8556882624663005,96,31,68,121
recording,2,LightGBM,B2_time_frequency,128.0,32.0,316,0.7615506395033954,0.7671957671957672,0.7559055118110236,0.7568108357703556,0.845061034037412,0.9001765251751938,96,31,44,145
recording,2,XGBoost,B2_time_frequency,128.0,32.0,316,0.7601341498979294,0.7407407407407407,0.7795275590551181,0.7521568627450981,0.8393950756155482,0.8991368947802917,99,28,49,140
recording,3,LightGBM,B1_time,128.0,32.0,316,0.65919977458439,0.5088757396449705,0.8095238095238095,0.6448611378294369,0.7207664130741054,0.7689716499067456,119,28,83,86
recording,3,XGBoost,B1_time,128.0,32.0,316,0.6596425552469509,0.5029585798816568,0.8163265306122449,0.6443714450831889,0.7189147848488507,0.7740680066799819,120,27,84,85
recording,3,LightGBM,B2_time_frequency,128.0,32.0,316,0.7202833796240389,0.5562130177514792,0.8843537414965986,0.7050324675324675,0.8045727166606288,0.8495627644014402,130,17,75,94
recording,3,XGBoost,B2_time_frequency,128.0,32.0,316,0.7134806585356035,0.5562130177514792,0.8707482993197279,0.699047619047619,0.7966429175220384,0.8468935206003669,128,19,75,94
recording,4,LightGBM,B1_time,128.0,32.0,314,0.678951367781155,0.7142857142857143,0.6436170212765957,0.668745839094587,0.780563998649105,0.7757419000084789,121,67,36,90
recording,4,XGBoost,B1_time,128.0,32.0,314,0.677516041877744,0.753968253968254,0.601063829787234,0.6613073917290785,0.7808595069233367,0.7776324286440317,113,75,31,95
recording,4,LightGBM,B2_time_frequency,128.0,32.0,314,0.8223150962512664,0.8095238095238095,0.8351063829787234,0.8192966485649412,0.9010469436001352,0.8861635412604509,157,31,24,102
recording,4,XGBoost,B2_time_frequency,128.0,32.0,314,0.8011229314420805,0.7777777777777778,0.824468085106383,0.7991127146108425,0.8878757176629517,0.8771132782626796,155,33,28,98
recording,5,LightGBM,B1_time,128.0,32.0,312,0.7282051282051283,0.717948717948718,0.7384615384615385,0.7204301075268817,0.7781284242822705,0.7475195042319916,144,51,33,84
recording,5,XGBoost,B1_time,128.0,32.0,312,0.7188034188034188,0.7350427350427351,0.7025641025641025,0.7069123840283715,0.7780845934692088,0.7467568259026346,137,58,31,86
recording,5,LightGBM,B2_time_frequency,128.0,32.0,312,0.729059829059829,0.7606837606837606,0.6974358974358974,0.7146791401692332,0.8472934472934472,0.828548101660058,136,59,28,89
recording,5,XGBoost,B2_time_frequency,128.0,32.0,312,0.7324786324786325,0.7521367521367521,0.7128205128205128,0.7200848611506918,0.8481262327416174,0.8254677176689911,139,56,29,88
participant,1,LightGBM,B1_time,,,32,0.5416666666666666,1.0,0.08333333333333333,0.46907993966817496,0.9791666666666665,0.99,1,11,0,20
participant,1,LightGBM,B2_time_frequency,,,32,0.5583333333333333,0.95,0.16666666666666666,0.5210884353741496,0.9416666666666667,0.9754398826979471,2,10,1,19
participant,1,XGBoost,B1_time,,,32,0.5416666666666666,1.0,0.08333333333333333,0.46907993966817496,0.9666666666666666,0.984537037037037,1,11,0,20
participant,1,XGBoost,B2_time_frequency,,,32,0.5583333333333333,0.95,0.16666666666666666,0.5210884353741496,0.9416666666666665,0.9746376811594202,2,10,1,19
participant,2,LightGBM,B1_time,,,32,0.5769230769230769,1.0,0.15384615384615385,0.5210884353741496,0.8502024291497975,0.9090823950731072,2,11,0,19
participant,2,LightGBM,B2_time_frequency,,,32,0.6923076923076923,1.0,0.38461538461538464,0.6908212560386473,0.9271255060728745,0.9431640105951659,5,8,0,19
participant,2,XGBoost,B1_time,,,32,0.5242914979757085,0.8947368421052632,0.15384615384615385,0.4793491864831039,0.8380566801619433,0.9043781202866542,2,11,2,17
participant,2,XGBoost,B2_time_frequency,,,32,0.6923076923076923,1.0,0.38461538461538464,0.6908212560386473,0.9554655870445343,0.9683660230649803,5,8,0,19
participant,3,LightGBM,B1_time,,,32,0.6,1.0,0.2,0.536231884057971,0.8627450980392158,0.8818067917578716,3,12,0,17
participant,3,LightGBM,B2_time_frequency,,,32,0.7,1.0,0.4,0.681063122923588,0.9568627450980393,0.96578210231461,6,9,0,17
participant,3,XGBoost,B1_time,,,32,0.6,1.0,0.2,0.536231884057971,0.8823529411764706,0.8990443280927709,3,12,0,17
participant,3,XGBoost,B2_time_frequency,,,32,0.7,1.0,0.4,0.681063122923588,0.9686274509803923,0.9742905056759545,6,9,0,17
participant,4,LightGBM,B1_time,,,32,0.5,1.0,0.0,0.28888888888888886,0.9068825910931174,0.9179894179894179,0,19,0,13
participant,4,LightGBM,B2_time_frequency,,,32,0.631578947368421,1.0,0.2631578947368421,0.5333333333333333,0.9757085020242916,0.972715318869165,5,14,0,13
participant,4,XGBoost,B1_time,,,32,0.5263157894736842,1.0,0.05263157894736842,0.34545454545454546,0.8947368421052632,0.9060490592998333,1,18,0,13
participant,4,XGBoost,B2_time_frequency,,,32,0.6052631578947368,1.0,0.21052631578947367,0.4909862142099682,0.9878542510121457,0.9838264299802761,4,15,0,13
participant,5,LightGBM,B1_time,,,32,0.525,1.0,0.05,0.3266888150609081,0.9125,0.8527969228627124,1,19,0,12
participant,5,LightGBM,B2_time_frequency,,,32,0.575,1.0,0.15,0.4231177094379639,0.9958333333333333,0.9935897435897435,3,17,0,12
participant,5,XGBoost,B1_time,,,32,0.525,1.0,0.05,0.3266888150609081,0.9,0.8376861349578069,1,19,0,12
participant,5,XGBoost,B2_time_frequency,,,32,0.6,1.0,0.2,0.4666666666666667,0.9958333333333333,0.9935897435897435,4,16,0,12
